Timestamp,FC,Physical activity,Sleep time,Eating outside,money on food per day,BLD,afternoon nap
2023/04/17 7:18:29 PM GMT+5:30,Non-vegetarian,4,6,5,600,Dinner,No
2023/04/17 7:19:04 PM GMT+5:30,Non-vegetarian,5,6,5,300,Dinner,Yes
2023/04/17 7:19:51 PM GMT+5:30,Non-vegetarian,168,24,28,6969,Breakfast,Yes
2023/04/17 7:23:27 PM GMT+5:30,Vegeterian + egg,24,5,6,100,Breakfast,Yes
2023/04/17 8:02:44 PM GMT+5:30,Vegeterian,7,6,2,50,Lunch,No
2023/04/17 8:03:47 PM GMT+5:30,Vegeterian + egg,0,6,4,300,Dinner,Yes
2023/04/17 8:06:51 PM GMT+5:30,Non-vegetarian,5,5,20,800,Lunch,No
2023/04/17 8:10:34 PM GMT+5:30,Non-vegetarian,3,7,30,100,Breakfast,No
2023/04/17 8:11:14 PM GMT+5:30,Vegeterian,0,7,2,0,Breakfast,Yes
2023/04/17 8:11:32 PM GMT+5:30,Vegeterian,7,7,5,50,Lunch,No
2023/04/17 8:11:39 PM GMT+5:30,Vegeterian,3,6,3,20,Dinner,No
2023/04/17 8:12:00 PM GMT+5:30,Vegeterian + egg,0,8,5,100,Breakfast,Yes
2023/04/17 8:12:00 PM GMT+5:30,Non-vegetarian,7,6,15,200,Dinner,Yes
2023/04/17 8:12:03 PM GMT+5:30,Vegeterian,0,4,15,5000,Lunch,Yes
2023/04/17 8:12:45 PM GMT+5:30,Non-vegetarian,2,6,10,60,Breakfast,No
2023/04/17 8:12:47 PM GMT+5:30,Non-vegetarian,12,7,0,0,Dinner,No
2023/04/17 8:13:05 PM GMT+5:30,Non-vegetarian,2,9,3,100,Breakfast,Yes
2023/04/17 8:13:11 PM GMT+5:30,Vegeterian,5,8,4,50,Breakfast,No
2023/04/17 8:13:30 PM GMT+5:30,Non-vegetarian,0,7,10,30,Dinner,Yes
2023/04/17 8:14:16 PM GMT+5:30,Non-vegetarian,0,0,1E+42,1E+55,Dinner,No
2023/04/17 8:14:17 PM GMT+5:30,Non-vegetarian,2,8,1,20,Breakfast,No
2023/04/17 8:14:23 PM GMT+5:30,Non-vegetarian,19,8,3,30,Breakfast,Yes
2023/04/17 8:14:33 PM GMT+5:30,Non-vegetarian,2,6,30,20,Breakfast,No
2023/04/17 8:14:39 PM GMT+5:30,Vegeterian + egg,18,8,8,500,Lunch,No
2023/04/17 8:14:42 PM GMT+5:30,Non-vegetarian,0,5,15,50,Breakfast,Yes
2023/04/17 8:14:50 PM GMT+5:30,Non-vegetarian,2,7,10,1000,Breakfast,No
2023/04/17 8:15:00 PM GMT+5:30,Non-vegetarian,0,1,2,100,Lunch,Yes
2023/04/17 8:15:51 PM GMT+5:30,Non-vegetarian,5,7,30,300,Dinner,Yes
2023/04/17 8:16:03 PM GMT+5:30,Non-vegetarian,14,8,4,120,Breakfast,No
